"2014-11-01","0","0","0","0","0","0","0","58332","15700","0","0","0","0","0","0","0","0","0","0","0"
"2014-11-02","0","0","0","0","0","0","0","6515","0","0","0","0","0","0","0","0","0","0","0","0"
"2014-11-03","0","0","0","0","0","0","0","6450","20000","0","0","147900","0","0","0","0","0","0","0","0"
"2014-11-04","0","0","0","0","0","0","0","1350","0","0","0","81500","7700","0","0","0","0","0","0","0"
"2014-11-05","0","0","0","0","0","0","0","430","0","0","0","0","0","0","0","0","0","0","0","0"
"2014-11-06","0","0","0","0","0","0","0","3558","0","50000","3300","0","0","0","0","0","0","0","0","0"
"2014-11-07","0","0","0","0","0","0","0","5150","80","0","0","129900","0","0","0","0","0","0","0","0"
"2014-11-08","0","0","0","0","0","0","0","38509","0","0","0","0","0","0","0","0","0","0","0","0"
"2014-11-09","0","0","0","0","0","0","0","13690","0","0","0","0","0","0","0","0","0","320000","0","0"
"2014-11-10","0","0","0","0","0","0","0","0","0","0","0","20000","0","0","0","0","0","0","0","0"
"2014-11-11","0","0","0","0","0","0","0","600","0","0","0","0","0","0","0","0","0","0","0","0"
"2014-11-12","0","0","0","0","0","0","0","0","0","0","599600","0","0","0","0","0","0","0","0","0"
"2014-11-13","0","0","0","0","0","0","0","4850","0","0","0","0","0","0","0","0","0","0","0","0"
"2014-11-14","0","0","0","0","0","0","0","6285","15000","0","0","27900","0","0","0","0","149542","0","0","0"
"2014-11-15","0","0","0","0","0","0","0","5284","0","0","0","0","0","0","0","3000","0","0","0","0"
"2014-11-16","0","0","0","0","0","0","0","65015","43078","0","24000","16479","0","0","8000","0","0","0","0","0"
"2014-11-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014-11-18","0","0","0","0","0","0","0","0","0","97400","0","0","0","0","0","0","0","0","0","0"
"2014-11-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6070","0","0","0","0"
"2014-11-20","0","0","0","0","0","0","0","0","980","0","0","0","0","0","0","0","0","0","0","0"
"2014-11-21","0","0","0","0","0","0","0","9559","0","0","0","0","9387","0","15592","27800","20000","0","0","0"
"2014-11-22","0","0","0","0","0","0","0","35596","0","0","0","0","0","0","0","30000","9200","0","0","0"
"2014-11-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014-11-24","0","0","0","0","0","0","0","21100","0","0","0","0","0","0","0","0","0","0","0","0"
"2014-11-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014-11-26","0","0","0","0","0","0","0","13500","0","13000","0","0","44000","0","0","0","0","0","0","0"
"2014-11-27","0","0","0","0","0","0","0","1350","0","0","0","0","0","0","0","40000","0","0","0","0"
"2014-11-28","0","0","0","0","0","0","0","90322","54528","0","0","0","20000","8682","0","0","104500","0","0","0"
"2014-11-29","0","0","0","0","0","0","0","2615","0","0","0","0","0","0","0","0","0","0","0","0"
"2014-11-30","0","0","0","0","0","0","0","7640","0","0","0","0","35197","0","0","0","0","0","0","0"
