"2013-01-01","0","0","0","0","0","0","6116","0","0","0","0","0","0","0","890","0","0","0","0"
"2013-01-02","0","0","0","0","0","0","1604","0","0","0","0","0","0","0","0","0","0","0","0"
"2013-01-03","0","0","0","0","0","0","3507","0","1100","0","0","0","0","0","10000","0","0","0","0"
"2013-01-04","0","0","0","0","0","0","1287","0","4700","0","0","0","0","0","10000","0","0","0","0"
"2013-01-05","30000","50000","13000","0","0","0","115584","90381","40000","1500","0","0","0","189050","635","84541","0","0","0"
"2013-01-06","0","0","0","0","0","0","2400","0","0","0","0","0","0","0","0","0","0","0","0"
"2013-01-07","0","0","0","0","0","0","1845","0","0","0","0","0","0","0","0","0","0","0","0"
"2013-01-08","0","0","0","0","0","0","225","0","0","0","0","8610","0","0","0","0","0","0","0"
"2013-01-09","0","0","0","0","0","0","20000","0","2600","0","0","0","0","0","0","0","0","0","0"
"2013-01-10","0","0","0","0","0","0","2300","0","0","2500","0","0","0","0","0","0","0","0","0"
"2013-01-11","0","0","0","0","0","0","0","0","600","0","0","0","0","0","915","0","0","0","0"
"2013-01-12","0","0","0","0","0","0","29395","0","0","0","0","26500","0","0","0","16500","0","0","0"
"2013-01-13","0","0","0","0","0","0","3778","0","0","0","0","0","0","0","0","0","0","0","0"
"2013-01-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013-01-15","0","0","0","0","0","0","1370","0","0","0","0","0","0","0","0","0","0","0","0"
"2013-01-16","0","0","0","0","0","0","0","0","50000","0","0","0","0","0","0","0","0","0","0"
"2013-01-17","0","0","0","0","0","0","8338","0","0","0","0","0","0","0","0","0","0","0","0"
"2013-01-18","0","0","0","0","0","0","33874","5000","0","0","0","9500","0","0","0","7270","0","0","0"
"2013-01-19","0","0","0","0","0","0","11800","0","0","0","0","0","0","0","0","0","0","0","0"
"2013-01-20","0","0","0","0","0","0","0","0","20000","0","0","0","0","0","15000","0","0","0","0"
"2013-01-21","0","0","0","0","0","0","1040","0","0","0","0","0","0","0","0","0","0","0","0"
"2013-01-22","0","0","0","0","0","0","2577","0","0","0","0","0","0","0","0","0","0","0","0"
"2013-01-23","0","0","0","0","0","0","6800","0","0","0","0","0","0","0","0","0","0","0","0"
"2013-01-24","0","0","0","0","0","0","6576","0","0","0","0","5000","0","0","0","0","0","0","0"
"2013-01-25","0","0","0","0","0","0","55619","0","50359","10750","0","0","0","0","550","0","0","0","0"
"2013-01-26","0","0","0","0","0","0","21874","950","0","0","6930","0","0","0","16100","36300","0","0","0"
"2013-01-27","0","0","0","0","0","0","0","0","0","2000","0","0","0","0","2380","0","0","0","0"
"2013-01-28","0","0","0","0","0","0","0","1075","0","0","0","2225","0","0","3450","0","0","0","0"
"2013-01-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013-01-30","0","0","0","0","0","0","17812","20380","0","0","0","54950","0","0","1900","0","0","0","0"
"2013-01-31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
